n,T(n)
0,0.001423
1000,0.34902
2000,0.728797
3000,0.827133
4000,2.422277
5000,0.807718
6000,0.972683
7000,1.133002
8000,1.290782
9000,1.524047
10000,1.798534
11000,2.735788
12000,2.984583
13000,2.201926
14000,3.159969
15000,2.602085
16000,3.038777
17000,3.840205
18000,3.463239
19000,3.811874
20000,3.512844
21000,3.706366
22000,5.540699
23000,4.001282
24000,4.779568
25000,4.336147
26000,5.381381
27000,4.733063
28000,5.065695
29000,5.124823
30000,5.314559
31000,5.48795
32000,5.675034
33000,7.044605
34000,6.197079
35000,6.685869
36000,6.446566
37000,6.729852
38000,6.874066
39000,8.495336
40000,7.240666
41000,7.429505
42000,7.689392
43000,8.579
44000,8.579662
45000,8.242985
46000,8.663587
47000,8.83515
48000,9.653996
49000,9.021065
50000,9.662463
51000,10.353555
52000,9.73855
53000,10.021313
54000,9.976601
55000,10.132973
56000,10.425462
57000,10.524885
58000,11.383065
59000,11.987618
60000,11.107468
61000,11.495542
62000,11.520837
63000,12.074112
64000,12.433591
65000,12.337276
66000,12.955427
67000,12.785566
68000,12.934811
69000,12.954389
70000,13.692632
71000,13.95898
72000,13.864872
73000,14.521429
74000,13.867876
75000,14.820527
76000,15.066564
77000,15.164868
78000,15.146995
79000,15.552279
80000,15.457761
81000,15.46312
82000,15.540419
83000,16.733193
84000,16.039586
85000,16.851737
86000,16.541111
87000,17.13565
88000,19.218884
89000,17.755369
90000,17.179735
91000,18.980602
92000,17.832235
93000,17.770016
94000,18.14801
95000,18.395283
96000,18.629753
97000,18.85191
98000,19.199197
99000,18.947894
100000,19.798824
