n,T(n)
0,0.003047
1000,8.473321
2000,10.279868
3000,10.996494
4000,14.225488
5000,12.464742
6000,18.732537
7000,31.480848
8000,33.121736
9000,38.682222
10000,50.345902
11000,58.608452
12000,69.625962
13000,81.769169
14000,97.432147
15000,110.077906
16000,125.936527
17000,142.460319
18000,161.158335
19000,181.75806
20000,203.44313
21000,226.023682
22000,248.867282
23000,276.847973
24000,303.545404
25000,333.941252
26000,362.197251
27000,422.858277
28000,427.826801
29000,461.737083
30000,498.864144
31000,533.108687
32000,572.307024
33000,617.029001
34000,652.464102
35000,697.107332
36000,751.594391
37000,784.246186
38000,832.053475
39000,876.441544
40000,925.084495
41000,969.275181
42000,1020.455257
43000,1113.00688
44000,1136.107793
45000,1185.873253
46000,1236.535019
47000,1303.802181
48000,1364.479749
49000,1419.843041
50000,1483.294134
51000,1555.506709
52000,1609.250611
53000,1677.603696
54000,1734.627049
55000,1809.644795
56000,1888.086506
57000,1944.093008
58000,2011.531495
59000,2095.233012
60000,2163.284689
61000,2239.807705
62000,2315.443579
63000,2399.565459
64000,2466.941965
65000,2556.324341
66000,2639.913763
67000,2749.67057
68000,2819.202381
69000,2897.455321
70000,2982.976438
71000,3072.037297
72000,3149.573448
73000,3272.711239
74000,3358.021864
75000,3419.909504
76000,3530.983508
77000,3607.715747
78000,3734.880391
79000,3812.112278
80000,3929.536558
81000,4039.998932
82000,4127.580465
83000,4218.326084
84000,4333.557428
85000,4441.901362
86000,4539.412737
87000,4659.765096
88000,4756.681413
89000,4868.835841
90000,4995.757763
91000,5108.13856
92000,5212.25071
93000,5342.743132
94000,5438.406508
95000,5578.189025
96000,5686.956353
97000,5826.062929
98000,5950.044122
99000,6062.242911
100000,6188.924013
