n,T(n)
0,7.6E-4
1000,0.016341
2000,0.039363
3000,0.056992
4000,0.071863
5000,0.06386
6000,0.103865
7000,0.096396
8000,0.113312
9000,0.152358
10000,0.213936
11000,0.13888
12000,0.160303
13000,0.196912
14000,0.219549
15000,0.214651
16000,0.34826
17000,0.305203
18000,0.308115
19000,0.313011
20000,0.384089
21000,0.32435
22000,0.313764
23000,0.462692
24000,0.386887
25000,0.368854
26000,0.365183
27000,0.465522
28000,0.436703
29000,0.491605
30000,0.529911
31000,0.434823
32000,0.563596
33000,0.508291
34000,0.557855
35000,0.630935
36000,0.635055
37000,0.510585
38000,0.581645
39000,0.783423
40000,0.622015
41000,0.588207
42000,0.586577
43000,0.66797
44000,0.893122
45000,0.854685
46000,1.194681
47000,0.970217
48000,0.805582
49000,1.240293
50000,1.00741
51000,1.118052
52000,0.946389
53000,0.855377
54000,0.761362
55000,1.097589
56000,1.071988
57000,1.289004
58000,1.090092
59000,0.903937
60000,0.936527
61000,0.873084
62000,1.819217
63000,0.854422
64000,1.354515
65000,1.213678
66000,1.089214
67000,1.464602
68000,1.059164
69000,1.143224
70000,1.320697
71000,1.461791
72000,1.293175
73000,1.328066
74000,1.549291
75000,1.346886
76000,1.288596
77000,1.24648
78000,1.644054
79000,1.318879
80000,2.385603
81000,2.059532
82000,1.506204
83000,1.373495
84000,1.708817
85000,1.246581
86000,1.393261
87000,1.650474
88000,1.24951
89000,2.15186
90000,1.399751
91000,1.581614
92000,2.048637
93000,1.646103
94000,1.743998
95000,2.085361
96000,1.915421
97000,1.639323
98000,2.110129
99000,1.874811
100000,2.13988
