n,T(n)
0,0.00169
1000,0.084932
2000,0.081076
3000,0.125241
4000,0.138768
5000,0.194404
6000,0.226457
7000,0.195403
8000,0.216779
9000,0.363241
10000,0.290579
11000,0.317858
12000,0.348493
13000,0.43344
14000,0.495995
15000,0.459213
16000,0.566211
17000,0.441907
18000,0.513517
19000,0.522751
20000,0.553691
21000,0.782966
22000,0.786262
23000,0.849871
24000,0.755256
25000,0.852734
26000,0.75347
27000,0.914513
28000,0.799706
29000,1.092181
30000,0.729333
31000,0.832961
32000,1.081743
33000,0.771642
34000,1.042876
35000,0.891101
36000,1.001484
37000,0.921091
38000,1.06191
39000,0.886503
40000,1.112236
41000,1.02289
42000,1.076986
43000,1.18339
44000,1.551679
45000,1.273097
46000,1.413579
47000,1.287778
48000,1.468059
49000,1.445375
50000,1.729854
51000,1.487767
52000,2.102057
53000,1.856046
54000,1.443354
55000,1.803235
56000,1.833794
57000,1.368373
58000,1.759256
59000,1.726241
60000,2.364326
61000,1.861316
62000,2.549913
63000,1.873048
64000,2.190226
65000,1.818629
66000,1.524553
67000,1.790668
68000,2.262495
69000,2.154237
70000,2.434279
71000,1.916354
72000,2.2405
73000,2.572094
74000,1.602585
75000,1.971382
76000,2.072009
77000,2.252626
78000,2.702404
79000,2.656068
80000,2.838398
81000,2.765824
82000,2.112243
83000,3.588125
84000,2.039972
85000,2.439979
86000,2.852722
87000,2.437568
88000,2.513955
89000,2.529914
90000,2.225277
91000,2.910827
92000,2.084976
93000,2.602994
94000,2.379418
95000,2.64173
96000,2.651186
97000,2.990228
98000,2.897848
99000,3.083553
100000,2.503977
