n,T(n)
0,0.002237
1000,1.8E-4
2000,7.8E-5
3000,6.8E-5
4000,7.1E-5
5000,5.6E-5
6000,5.1E-5
7000,5.2E-5
8000,5.7E-5
9000,5.8E-5
10000,5.2E-5
11000,8.5E-5
12000,6.9E-5
13000,5.1E-5
14000,6.4E-5
15000,5.2E-5
16000,5.3E-5
17000,6.3E-5
18000,5.5E-5
19000,5.4E-5
20000,5.4E-5
21000,5.3E-5
22000,6.4E-5
23000,5.1E-5
24000,5.2E-5
25000,5.9E-5
26000,5.2E-5
27000,5.7E-5
28000,5.5E-5
29000,5.0E-5
30000,5.8E-5
31000,5.3E-5
32000,5.3E-5
33000,5.9E-5
34000,5.5E-5
35000,6.1E-5
36000,5.9E-5
37000,5.8E-5
38000,5.7E-5
39000,5.9E-5
40000,5.3E-5
41000,5.5E-5
42000,5.5E-5
43000,5.6E-5
44000,5.6E-5
45000,5.2E-5
46000,5.5E-5
47000,6.0E-5
48000,6.0E-5
49000,5.5E-5
50000,5.5E-5
51000,6.0E-5
52000,5.3E-5
53000,6.7E-5
54000,5.9E-5
55000,5.5E-5
56000,5.7E-5
57000,5.7E-5
58000,5.3E-5
59000,5.5E-5
60000,5.5E-5
61000,5.6E-5
62000,5.6E-5
63000,5.5E-5
64000,5.7E-5
65000,5.4E-5
66000,5.5E-5
67000,5.7E-5
68000,5.6E-5
69000,5.2E-5
70000,5.8E-5
71000,5.9E-5
72000,5.7E-5
73000,5.5E-5
74000,5.6E-5
75000,5.4E-5
76000,5.4E-5
77000,5.4E-5
78000,5.6E-5
79000,5.9E-5
80000,5.7E-5
81000,5.4E-5
82000,5.2E-5
83000,5.8E-5
84000,5.7E-5
85000,5.7E-5
86000,5.5E-5
87000,5.8E-5
88000,5.6E-5
89000,5.7E-5
90000,5.2E-5
91000,5.9E-5
92000,5.5E-5
93000,5.8E-5
94000,5.8E-5
95000,5.4E-5
96000,5.9E-5
97000,5.6E-5
98000,5.7E-5
99000,5.5E-5
100000,5.9E-5
