n,T(n)
0,0.0013088
1,0.0027614
2,0.0019396
3,0.0020048
4,0.0016766
5,0.0032642
6,0.0014014
7,0.0013256
8,0.001615
9,0.0019904
10,0.0023768
11,0.0035098
12,0.001492
13,0.0017154
14,0.0039562
15,0.0188482
16,0.0006362
17,0.001302
18,0.0013116
19,0.0006974
20,0.0008076
21,0.0008992
22,0.0009276
23,0.0015138
24,0.0009694
25,0.002271
26,0.0006944
27,0.0011072
28,0.001139
29,0.0016504
30,0.0017378
31,0.0020658
32,0.001681
33,0.0013646
34,0.0028764
35,0.0029708
36,0.0017512
37,0.0068748
38,0.0050688
39,0.0045614
40,0.0039146
41,0.008043
42,0.0145804
43,0.0111814
44,0.0150528
45,0.0040356
46,0.0056028
47,0.0076012
48,0.0070676
49,0.0068298
50,0.0132106
51,0.0106708
52,0.0121088
53,0.0347154
54,0.0151164
55,0.0259038
56,0.0207366
57,0.0114322
58,0.0205418
59,0.057346
60,0.0198406
61,0.0202886
62,0.020263
63,0.0171926
64,0.0268256
65,0.054383
66,0.0230776
67,0.0409578
68,0.0364732
69,0.0107288
70,0.0224834
71,0.0385112
72,0.0561724
73,0.0811212
74,0.0196076
75,0.0377754
76,0.0515682
77,0.0589118
78,0.0192958
79,0.0491768
80,0.0608386
81,0.0405224
82,0.1343784
83,0.1534522
84,0.0857614
85,0.0838878
86,0.1344052
87,0.1885482
88,0.1060718
89,0.1676848
90,0.1297124
91,0.077081
92,0.0291496
93,0.097328
94,0.1924944
95,0.1664226
96,0.1307386
97,0.0621454
98,0.4776718
99,0.1322168
100,0.084509
101,0.234768
102,0.3457226
103,0.123433
104,0.275676
105,0.6141256
106,0.7740932
107,0.6395618
108,0.9095226
109,0.6339862
110,0.3813806
111,0.9335792
112,0.7153646
113,0.1816214
114,1.3270176
115,2.1406938
116,0.3970618
117,0.257496
118,0.424247
119,1.0393592
120,1.0946596
121,0.6208924
122,0.6495426
123,0.5558138
124,0.4873166
125,1.0283578
126,0.5840048
127,0.5520778
128,0.442071
129,0.2557
130,0.7404412
131,1.970643
132,0.4154552
133,0.6966362
134,2.89231
135,1.0349602
136,2.474588
137,1.7037068
138,0.980588
139,0.3630778
140,0.6114622
141,1.1950806
142,1.1815898
143,2.8324994
144,1.4565778
145,0.830946
146,0.744825
147,2.3336666
148,1.8807138
149,1.0184254
150,1.5648254
151,3.4414196
152,4.844817
153,1.2035214
154,2.9032062
155,2.9850782
156,1.0300392
157,2.6398252
158,3.0226706
159,3.6998106
160,4.11594
161,1.2578042
162,6.6029138
163,5.78243
164,7.6951264
165,5.9124764
166,18.259813
167,2.6510098
168,2.2161318
169,1.6843994
170,6.4670128
171,4.4059886
172,3.0184966
173,1.8371976
174,7.8735582
175,8.2107262
176,2.3961734
177,6.231399
178,5.1729842
179,3.7373326
180,5.0253392
181,30.9621842
182,2.603911
183,14.6349188
184,1.6196184
185,46.346967
186,8.0996818
187,23.7630428
188,1.9619548
189,9.2437828
190,6.040938
191,11.8257458
192,3.2295088
193,30.8464666
194,22.6196246
195,4.2359852
196,3.5802808
197,13.0685902
198,13.0515148
199,6.4734022
200,9.322067
201,20.9521672
202,27.8133404
203,8.775833
204,13.207875
205,5.7040296
206,64.4375872
207,36.6752422
208,23.4501632
209,8.644782
210,13.3084114
211,20.0924874
212,39.1977612
213,9.0209068
214,19.6386314
215,11.8309836
216,43.1251708
217,52.6035476
218,32.0209622
219,91.9611324
220,32.2312572
221,47.2748704
222,78.855831
223,35.6827208
224,11.7177268
225,27.182248
226,82.5942064
227,131.949136
228,44.4852602
229,28.1222986
230,27.1446794
231,214.4864826
232,27.2865064
233,40.6871294
234,702.5229218
235,68.2800202
236,31.0329664
237,39.921235
238,48.247967
239,54.386566
240,48.403654
241,273.1734436
242,183.6965458
243,27.6454808
244,23.3166802
245,87.5936934
246,720.952964
247,96.8631356
248,66.1134294
249,40.3048468
250,72.2785056
251,97.7035972
252,307.845737
253,62.7453922
254,71.0600156
255,399.3677316
256,80.7764964
257,137.5630962
258,164.8348872
259,36.3199624
260,95.0419404
261,150.859938
262,163.011158
263,135.7578438
264,1046.442089
265,165.6510136
266,354.5549288
267,181.26137
268,286.1704812
269,151.9395672
270,941.2050928
271,1768.324268
272,115.7581976
273,153.079225
274,429.5455268
275,143.651105
276,317.1113136
277,79.683307
278,91.0066894
279,357.6872284
280,149.899324
281,31.5540778
282,204.6487714
283,572.036067
284,91.6557896
285,142.18195
286,327.3197794
287,215.0774238
288,82.3794558
289,20.1020094
290,1509.03184
291,6401.117501
292,301.3150536
293,10403.75438
294,333.716666
295,149.4314038
296,250.3603526
297,123.6701628
298,850.7633542
299,278.08894
300,412.4102488
,
,
