n,T(n)
0,0.007642
0,5.34E-4
0,6.82E-4
0,7.95E-4
0,5.55E-4
1,0.146043
1,0.003659
1,0.003978
1,0.003663
1,0.003363
2,0.013761
2,0.005683
2,0.005118
2,0.006785
2,0.005627
3,0.008439
3,0.008523
3,0.006929
3,0.007801
3,0.009167
4,0.008609
4,0.009759
4,0.01692
4,0.008551
4,0.010472
5,0.016843
5,0.018284
5,0.011973
5,0.013094
5,0.012865
6,0.01074
6,0.00842
6,0.010375
6,0.010124
6,0.015869
7,0.008417
7,0.008104
7,0.007913
7,0.008807
7,0.012459
8,0.011669
8,0.005959
8,0.005367
8,0.006576
8,0.005553
9,0.006667
9,0.006901
9,0.007214
9,0.006602
9,0.006701
10,0.007
10,0.013508
10,0.004809
10,0.007847
10,0.006777
11,0.007641
11,0.006932
11,0.008235
11,0.007604
11,0.007454
12,0.006962
12,0.008199
12,0.009387
12,0.008859
12,0.008476
13,0.006062
13,0.012505
13,0.010083
13,0.008885
13,0.008801
14,0.005308
14,0.004915
14,0.015358
14,0.013448
14,0.029668
15,0.01748
15,0.006002
15,0.005974
15,0.007351
15,0.006654
16,0.007845
16,0.006763
16,0.005648
16,0.00642
16,0.004698
17,0.009367
17,0.006196
17,0.008343
17,0.004888
17,0.008005
18,0.005797
18,0.007975
18,0.269098
18,0.006466
18,0.003586
19,0.004514
19,0.005415
19,0.003489
19,0.003866
19,0.003666
20,0.003643
20,0.00414
20,0.003825
20,0.004702
20,0.009241
21,0.033773
21,0.020357
21,0.026675
21,0.018693
21,0.028942
22,0.022341
22,0.004669
22,0.002996
22,0.004733
22,0.002675
23,0.002949
23,0.00308
23,0.002748
23,0.002845
23,0.003157
24,0.002939
24,0.003112
24,0.00315
24,0.003006
24,0.002947
25,0.002867
25,0.008855
25,0.010818
25,0.007813
25,0.003057
26,0.003375
26,0.003466
26,0.00308
26,0.003276
26,0.004368
27,0.003454
27,0.003169
27,0.003005
27,0.003115
27,0.00307
28,0.003555
28,0.003429
28,0.003454
28,0.003272
28,0.004671
29,0.004586
29,0.003432
29,0.003652
29,0.00365
29,0.005133
30,0.003452
30,0.005242
30,0.003521
30,0.049843
30,0.004153
31,0.005902
31,0.005403
31,0.005142
31,0.005366
31,0.004888
32,0.005741
32,0.004891
32,0.005061
32,0.005599
32,0.003617
33,0.003638
33,0.003823
33,0.003634
33,0.003576
33,0.003555
34,0.004652
34,0.006801
34,0.003728
34,0.003683
34,0.003604
35,0.004037
35,0.004012
35,0.003529
35,0.003746
35,0.005673
36,0.003715
36,0.003897
36,0.003918
36,0.003631
36,0.003961
37,0.003769
37,0.003882
37,0.004043
37,0.005628
37,0.006142
38,0.005698
38,0.005136
38,0.005962
38,0.006069
38,0.009674
39,0.006121
39,0.005806
39,0.005933
39,0.006835
39,0.006956
40,0.006966
40,0.00709
40,0.007156
40,0.006326
40,0.010779
41,0.00739
41,0.006739
41,0.006523
41,0.006801
41,0.006966
42,0.007368
42,0.006685
42,0.007552
42,0.007043
42,0.008754
43,0.006321
43,0.006999
43,0.007921
43,0.007536
43,0.007767
44,0.007607
44,0.007922
44,0.007419
44,0.008854
44,0.007939
45,0.00799
45,0.007978
45,0.007572
45,0.00798
45,0.007628
46,0.007014
46,0.007598
46,0.008119
46,0.008851
46,0.008018
47,0.008263
47,0.007977
47,0.008186
47,0.008286
47,0.007432
48,0.008548
48,0.008155
48,0.007912
48,0.008156
48,0.007679
49,0.014512
49,0.009484
49,0.008842
49,0.010643
49,0.009657
50,0.010849
50,0.010378
50,0.013565
50,0.008437
50,0.009539
51,0.008671
51,0.009079
51,0.008269
51,0.01061
51,0.009597
52,0.008965
52,0.009636
52,0.009212
52,0.009847
52,0.009673
53,0.009812
53,0.00996
53,0.010031
53,0.009486
53,0.010182
54,0.010739
54,0.00916
54,0.009957
54,0.0098
54,0.009978
55,0.009572
55,0.009546
55,0.010223
55,0.009519
55,0.009481
56,0.01071
56,0.010409
56,0.011038
56,0.010353
56,0.009641
57,0.009794
57,0.011326
57,0.010852
57,0.010536
57,0.010992
58,0.009927
58,0.010454
58,0.010833
58,0.014424
58,0.010266
59,0.011062
59,0.010659
59,0.009961
59,0.011162
59,0.010049
60,0.010766
60,0.011614
60,0.011256
60,0.010594
60,0.010943
61,0.011801
61,0.011411
61,0.011672
61,0.010283
61,0.011192
62,0.011466
62,0.010586
62,0.012085
62,0.010662
62,0.011955
63,0.011144
63,0.010946
63,0.011101
63,0.011071
63,0.011049
64,0.186068
64,0.011382
64,0.011181
64,0.01105
64,0.012966
65,0.010657
65,0.012916
65,0.012238
65,0.01204
65,0.0109
66,0.011335
66,0.011106
66,0.011111
66,0.011299
66,0.011077
67,0.010813
67,0.010997
67,0.011886
67,0.011994
67,0.011433
68,0.011637
68,0.011293
68,0.008305
68,0.008185
68,0.008065
69,0.00793
69,0.011889
69,0.008097
69,0.008223
69,0.008547
70,0.007516
70,0.008054
70,0.012731
70,0.01302
70,0.013627
71,0.013321
71,0.013861
71,0.014038
71,0.014975
71,0.012563
72,0.013846
72,0.01296
72,0.012248
72,0.013568
72,0.013366
73,0.013598
73,0.01672
73,0.013527
73,0.012181
73,0.00865
74,0.00883
74,0.008698
74,0.008695
74,0.011557
74,0.011827
75,0.013207
75,0.014299
75,0.013019
75,0.01357
75,0.013756
76,0.012558
76,0.013033
76,0.013701
76,0.014073
76,0.013166
77,0.218038
77,0.014274
77,0.01461
77,0.014745
77,0.009306
78,0.009474
78,0.011318
78,0.008885
78,0.008918
78,0.00901
79,0.009568
79,0.008831
79,0.010634
79,0.010038
79,0.009021
80,0.009576
80,0.009739
80,0.01473
80,0.009015
80,0.013668
81,0.00977
81,0.009906
81,0.009511
81,0.013251
81,0.014825
82,0.013281
82,0.014272
82,0.01385
82,0.016035
82,0.015159
83,0.014412
83,0.013934
83,0.014233
83,0.013634
83,0.012819
84,0.010099
84,0.00953
84,0.010202
84,0.010187
84,0.009448
85,0.0099
85,0.010888
85,0.009033
85,0.009793
85,0.00963
86,0.011056
86,0.012858
86,0.015608
86,0.016149
86,0.015338
87,0.01395
87,0.015337
87,0.01638
87,0.014928
87,0.010444
88,0.012133
88,0.009692
88,0.010015
88,0.170004
88,0.009968
89,0.011156
89,0.010644
89,0.015057
89,0.015948
89,0.015284
90,0.013932
90,0.014996
90,0.016153
90,0.015578
90,0.01045
91,0.010143
91,0.011559
91,0.013
91,0.010626
91,0.0107
92,0.010232
92,0.010806
92,0.010007
92,0.012199
92,0.010304
93,0.011627
93,0.012954
93,0.011591
93,0.010633
93,0.011079
