n,T(n)
0,0.005761
1,0.190395
2,0.015127
3,0.009203
4,0.014965
5,0.012168
6,0.014358
7,0.020435
8,0.020642
9,0.019084
10,0.024794
11,0.02625
12,0.0276
13,0.025863
14,0.01691
15,0.016116
16,0.021953
17,0.016872
18,0.012392
19,0.012529
20,0.014632
21,0.009292
22,0.005229
23,0.008613
24,0.005902
25,0.007985
26,0.010088
27,0.014641
28,0.005847
29,0.005458
30,0.006035
31,0.006487
32,0.006413
33,0.006372
34,0.006916
35,0.007176
36,0.006518
37,0.007738
38,0.007151
39,0.007917
40,0.007909
41,0.008459
42,0.014316
43,0.008839
44,0.009187
45,0.009356
46,0.010226
47,0.009406
48,0.009679
49,0.011242
50,0.010733
51,0.014102
52,0.010818
53,0.011423
54,0.011798
55,0.012152
56,0.01321
57,0.013651
58,0.012743
59,0.012979
60,0.014602
61,0.015263
62,0.014718
63,0.014592
64,0.014415
65,0.016425
66,0.01785
67,0.015662
68,0.01516
69,0.017731
70,0.016241
71,0.017701
72,0.01708
73,0.018368
74,0.018578
75,0.021256
76,0.01789
77,0.017693
78,0.019181
79,0.019429
80,0.034465
81,0.143192
82,0.094034
83,0.10036
84,0.097014
85,0.119615
86,0.103649
87,0.113749
88,0.100924
89,0.096908
90,0.104439
91,0.103191
92,0.100546
93,0.125615
94,0.10304
95,0.11942
96,0.112778
97,0.168685
98,0.144741
99,0.148254
100,0.169848
101,0.149814
102,0.161717
103,0.152824
104,0.154757
105,0.173276
106,0.175547
107,0.159042
108,0.147103
109,0.057837
110,0.073811
111,0.021031
112,0.01733
113,0.01677
114,0.016586
115,0.016015
116,0.022777
117,0.02625
118,0.02811
119,0.028334
120,0.029651
121,0.030425
122,0.030336
123,0.034202
124,0.030465
125,0.029841
126,0.027525
127,0.018056
128,0.025483
129,0.017245
130,0.027454
131,0.027857
132,0.018729
133,0.01704
134,0.017851
135,0.016604
136,0.016682
137,0.018132
138,0.01661
139,0.026741
140,0.026496
141,0.021627
142,0.019721
143,0.020135
144,0.019758
145,0.028157
146,0.019492
147,0.017101
148,0.017718
149,0.029338
150,0.018863
151,0.020193
152,0.018452
153,0.020054
154,0.020858
155,0.018337
156,0.020526
157,0.023147
158,0.035254
159,0.022044
160,0.018893
161,0.019354
162,0.023332
163,0.021133
164,0.019426
165,0.022095
166,0.018999
167,0.022012
168,0.025869
169,0.020112
170,0.020946
171,0.020129
172,0.034554
173,0.022062
174,0.0226
175,0.025339
176,0.020797
177,0.024515
178,0.022898
179,0.021109
180,0.022047
181,0.020967
182,0.023397
183,0.021016
184,0.024114
185,0.023766
186,0.023186
187,0.023938
188,0.024011
189,0.023488
190,0.022111
191,0.025261
192,0.027601
193,0.026547
194,0.022687
195,0.02603
196,0.027214
197,0.024166
198,0.023841
199,0.023721
200,0.024398
201,0.025468
202,0.025528
203,0.038487
204,0.026741
205,0.027835
206,0.02654
207,0.023878
208,0.025889
209,0.026901
210,0.027806
211,0.02451
212,0.027841
213,0.028868
214,0.032439
215,0.025336
216,0.026769
217,0.027395
218,0.025859
219,0.028398
220,0.029411
221,0.030144
222,0.031177
223,0.029131
224,0.026692
225,0.032219
226,0.027597
227,0.0304
228,0.032399
229,0.032695
230,0.030052
231,0.031089
232,0.02796
233,0.032311
234,0.03175
235,0.030404
236,0.030454
237,0.028391
238,0.045076
239,0.030949
240,0.028533
241,0.030424
242,0.030173
243,0.030922
244,0.030997
245,0.030183
246,0.032796
247,0.032624
248,0.03016
249,0.030709
250,0.033895
251,0.031817
252,0.034183
253,0.031813
254,0.037349
255,0.035696
256,0.032364
257,0.032925
258,0.033378
259,0.035783
260,0.052614
261,0.03307
262,0.051829
263,0.032339
264,0.043732
265,0.030182
266,0.037737
267,0.032482
268,0.033544
269,0.036796
270,0.033577
271,0.033555
272,0.034697
273,0.598389
274,0.029389
275,0.031915
276,0.032573
277,0.032786
278,0.033669
279,0.034113
280,0.032375
281,0.032806
282,0.030426
283,0.032742
284,0.032326
285,0.033487
286,0.034952
287,0.033265
288,0.032259
289,0.03318
290,0.033788
291,0.033945
292,0.034657
293,0.033401
294,0.033858
295,0.035195
296,0.034718
297,0.03528
298,0.032749
299,0.034677
300,0.038327
301,0.037986
302,0.037054
303,0.03548
304,0.0378
305,0.033374
306,0.033117
307,0.035132
308,0.033075
309,0.039131
310,0.038622
311,0.035917
312,0.034618
313,0.037178
314,0.03583
315,0.040129
316,0.037747
317,0.036552
318,0.039056
319,0.038877
320,0.037152
321,0.037972
322,0.037973
323,0.039127
324,0.036363
325,0.038157
326,0.039176
327,0.038714
328,0.038452
329,0.037275
330,0.040404
331,0.038193
332,0.039412
333,0.037867
334,0.04044
335,0.05734
336,0.036665
337,0.042422
338,0.04351
339,0.041619
340,0.039502
341,0.040739
342,0.038581
343,0.039639
344,0.041419
345,0.042238
346,0.041217
347,0.041207
348,0.043043
