n,T(n)
0,0.002875
0,0.001216
0,8.81E-4
0,7.79E-4
0,7.93E-4
1,0.008866
1,9.78E-4
1,0.001781
1,0.001223
1,9.59E-4
2,0.001252
2,0.004312
2,0.001206
2,0.00175
2,0.001178
3,0.001297
3,0.001283
3,0.002153
3,0.002683
3,0.002608
4,0.001394
4,0.001953
4,0.002429
4,0.001243
4,0.001364
5,0.003786
5,0.004136
5,0.002139
5,0.004813
5,0.001447
6,0.001254
6,0.001207
6,0.001616
6,0.001168
6,0.001762
7,0.00148
7,0.001406
7,8.22E-4
7,0.001595
7,0.001325
8,0.00144
8,0.00155
8,0.001825
8,0.002041
8,0.001219
9,0.002005
9,0.001286
9,0.003213
9,0.001605
9,0.001843
10,0.002039
10,0.004209
10,0.001855
10,0.002277
10,0.001504
11,0.001343
11,0.008448
11,0.001803
11,0.003184
11,0.002771
12,0.001067
12,0.001452
12,0.001539
12,0.001782
12,0.00162
13,0.001932
13,0.001674
13,0.001956
13,0.001291
13,0.001724
14,0.006176
14,0.001931
14,0.005147
14,0.005342
14,0.001185
15,0.001389
15,0.089901
15,0.001483
15,8.01E-4
15,6.67E-4
16,7.01E-4
16,7.29E-4
16,6.41E-4
16,5.75E-4
16,5.35E-4
17,0.001064
17,0.003389
17,5.97E-4
17,6.99E-4
17,7.61E-4
18,0.001135
18,5.84E-4
18,7.49E-4
18,5.14E-4
18,0.003576
19,7.79E-4
19,0.001125
19,4.79E-4
19,6.16E-4
19,4.88E-4
20,5.05E-4
20,5.74E-4
20,7.02E-4
20,4.27E-4
20,0.00183
21,6.18E-4
21,6.14E-4
21,0.001389
21,0.001198
21,6.77E-4
22,4.77E-4
22,7.96E-4
22,5.71E-4
22,6.61E-4
22,0.002133
23,0.002817
23,6.87E-4
23,0.002284
23,6.95E-4
23,0.001086
24,5.02E-4
24,0.001064
24,0.001424
24,9.73E-4
24,8.84E-4
25,0.001078
25,5.13E-4
25,0.006409
25,8.11E-4
25,0.002544
26,5.86E-4
26,7.3E-4
26,5.54E-4
26,9.85E-4
26,6.17E-4
27,5.11E-4
27,0.00182
27,7.39E-4
27,0.001814
27,6.52E-4
28,0.001132
28,0.001489
28,0.001193
28,7.66E-4
28,0.001115
29,0.001881
29,6.32E-4
29,0.001057
29,0.003921
29,7.61E-4
30,7.44E-4
30,6.75E-4
30,0.001203
30,0.003753
30,0.002314
31,0.003204
31,0.001312
31,0.002307
31,9.17E-4
31,0.002589
32,0.001144
32,0.002371
32,0.001692
32,6.82E-4
32,0.002516
33,8.7E-4
33,0.001999
33,0.001484
33,7.96E-4
33,0.001674
34,0.001054
34,0.001473
34,0.001584
34,0.002819
34,0.007452
35,0.006227
35,0.004119
35,0.001898
35,0.00128
35,0.00133
36,0.003394
36,0.001738
36,0.001693
36,0.00102
36,9.11E-4
37,0.001324
37,0.001145
37,0.007975
37,0.017649
37,0.006281
38,0.003957
38,0.002033
38,0.007618
38,0.003182
38,0.008554
39,0.001669
39,0.007035
39,0.00223
39,0.010236
39,0.001637
40,0.005982
40,0.003366
40,0.006834
40,0.001975
40,0.001416
41,0.003149
41,0.004062
41,0.005997
41,0.005958
41,0.021049
42,0.022655
42,0.00716
42,0.003488
42,0.009203
42,0.030396
43,0.009264
43,0.014395
43,0.001678
43,0.015133
43,0.015437
44,0.009243
44,0.029416
44,0.00321
44,0.007145
44,0.02625
45,0.004734
45,0.003718
45,0.004944
45,0.004438
45,0.002344
46,0.007754
46,0.001622
46,0.004127
46,0.011671
46,0.00284
47,0.005407
47,0.004802
47,0.008192
47,0.002303
47,0.017302
48,0.008979
48,0.005062
48,0.009471
48,0.004693
48,0.007133
49,0.002837
49,0.00576
49,0.007717
49,0.016639
49,0.001196
50,0.005098
50,0.025659
50,0.027328
50,0.002976
50,0.004992
51,0.006632
51,0.012418
51,0.027677
51,0.004585
51,0.002042
52,0.009902
52,0.004594
52,0.01684
52,0.00982
52,0.019388
53,0.123306
53,0.014741
53,0.008512
53,0.020051
53,0.006967
54,0.023824
54,0.005843
54,0.012668
54,0.003369
54,0.029878
55,0.005955
55,0.043593
55,0.020453
55,0.044623
55,0.014895
56,0.068575
56,0.008028
56,0.005883
56,0.008051
56,0.013146
57,0.002956
57,0.010072
57,0.016126
57,0.016839
57,0.011168
58,0.008003
58,0.004281
58,0.010183
58,0.022851
58,0.057391
59,0.046901
59,0.079111
59,0.129608
59,0.028669
59,0.002441
60,0.011095
60,0.019708
60,0.03996
60,0.013337
60,0.015103
61,0.042319
61,0.00629
61,0.003428
61,0.009589
61,0.039817
62,0.067857
62,0.01055
62,0.006683
62,0.006454
62,0.009771
63,0.016564
63,0.012532
63,0.027226
63,0.018129
63,0.011512
64,0.020179
64,0.049672
64,0.022588
64,0.032299
64,0.00939
65,0.008955
65,0.16646
65,0.028128
65,0.002755
65,0.065617
66,0.030875
66,0.037985
66,0.009835
66,0.021012
66,0.015681
67,0.004696
67,0.066885
67,0.024212
67,0.04704
67,0.061956
68,0.069717
68,0.029426
68,0.013839
68,0.014236
68,0.055148
69,0.009661
69,0.011148
69,0.015481
69,0.006309
69,0.011045
70,0.002526
70,0.047691
70,0.019389
70,0.030416
70,0.012395
71,0.018982
71,0.024318
71,0.037406
71,0.071596
71,0.040254
72,0.060101
72,0.048889
72,0.083037
72,0.03983
72,0.049005
73,0.127068
73,0.042609
73,0.015822
73,0.207533
73,0.012574
74,0.009132
74,0.017319
74,0.028161
74,0.028477
74,0.014949
75,0.03681
75,0.00791
75,0.065247
75,0.06512
75,0.01379
76,0.006079
76,0.163186
76,0.029267
76,0.034053
76,0.025256
77,0.006596
77,0.09813
77,0.023548
77,0.142347
77,0.023938
78,0.035846
78,0.012096
78,0.017132
78,0.009806
78,0.021599
79,0.016089
79,0.011701
79,0.154203
79,0.031675
79,0.032216
80,0.05692
80,0.016413
80,0.074962
80,0.024464
80,0.131434
81,0.025587
81,0.059658
81,0.08354
81,0.024656
81,0.009171
82,0.153931
82,0.184692
82,0.179351
82,0.020415
82,0.133503
83,0.049065
83,0.063612
83,0.135504
83,0.021602
83,0.497478
84,0.031056
84,0.070062
84,0.235893
84,0.066006
84,0.02579
85,0.12894
85,0.034339
85,0.079762
85,0.070045
85,0.106353
86,0.056429
86,0.463805
86,0.107482
86,0.005698
86,0.038612
87,0.057533
87,0.20595
87,0.031153
87,0.394416
87,0.253689
88,0.351496
88,0.039766
88,0.020605
88,0.064579
88,0.053913
89,0.100107
89,0.417664
89,0.188304
89,0.092336
89,0.040013
90,0.107583
90,0.154951
90,0.130226
90,0.232523
