n,T(n)
0,0.007525
1,0.002584
2,0.001364
3,0.001561
4,0.005954
5,0.002386
6,0.004976
7,0.002404
8,0.009401
9,0.009436
10,0.006935
11,0.001085
12,0.002575
13,0.002543
14,0.002289
15,0.001324
16,0.002877
17,0.006732
18,0.004004
19,0.090229
20,0.023962
21,0.003498
22,0.004831
23,0.001494
24,0.001466
25,0.002244
26,0.001783
27,9.06E-4
28,0.001437
29,0.00124
30,0.001113
31,0.001422
32,0.001675
33,0.002317
34,0.01168
35,0.002112
36,0.00148
37,0.001359
38,9.56E-4
39,0.003503
40,0.004365
41,0.006187
42,0.060851
43,0.005639
44,0.009909
45,0.004609
46,0.001591
47,0.015829
48,0.004557
49,0.002589
50,0.002506
51,0.006305
52,0.004949
53,0.004239
54,0.006772
55,0.013536
56,0.002747
57,0.056624
58,0.00618
59,0.007455
60,0.010707
61,0.018844
62,0.015969
63,0.021605
64,0.037495
65,0.138796
66,0.015111
67,0.060436
68,0.009204
69,0.005009
70,0.004767
71,0.020969
72,0.017694
73,0.017713
74,0.136898
75,0.006827
76,0.03348
77,0.043754
78,0.210323
79,0.021747
80,0.033193
81,0.038924
82,0.012663
83,0.046369
84,0.040279
85,0.103722
86,0.111984
87,0.348205
88,0.063338
89,0.100738
90,0.016161
91,0.9684
92,0.115535
93,0.093528
94,0.057422
95,0.124438
96,0.217117
97,0.379829
98,0.04718
99,0.157917
100,0.040592
101,0.386192
102,0.745509
103,0.165603
104,1.444695
105,0.07791
106,0.586652
107,0.393636
108,0.10535
109,0.264871
110,0.687415
111,0.132876
112,0.022665
113,0.898175
114,0.560554
115,0.240304
116,0.046619
117,0.609815
118,0.152955
119,0.041217
120,2.03783
121,0.036556
122,0.312764
123,0.304169
124,0.886232
125,1.974086
126,4.529688
127,0.252843
128,0.12144
129,0.955044
130,0.903454
131,2.765201
132,2.594338
133,1.060716
134,0.574121
135,0.254653
136,4.412976
137,0.124767
138,0.106195
139,0.493914
140,2.074839
141,0.382931
142,2.978394
143,0.554085
144,0.118886
145,0.869014
146,0.2019
147,3.162459
148,1.155915
149,0.666189
150,0.678486
151,0.067101
152,1.306125
153,2.401468
154,0.512173
155,11.205683
156,1.395848
157,2.02091
158,1.221836
159,3.662732
160,3.776905
161,1.930582
162,1.686224
163,0.364081
164,13.039562
165,10.198819
166,0.665049
167,0.804024
168,12.738481
169,2.865995
170,19.838642
171,0.984568
172,5.472762
173,1.340216
174,8.34916
175,0.317898
176,0.144692
177,0.941537
178,0.472489
179,6.71549
180,1.73044
181,6.674578
182,6.129473
183,5.405838
184,25.388185
185,1.75843
186,1.514706
187,11.123522
188,13.792723
189,11.050207
190,1.200074
191,11.287482
192,14.039642
193,7.082262
194,1.055884
195,48.033632
196,2.254733
197,2.450678
198,2.816639
199,9.745739
200,0.361572
201,165.647514
202,26.695499
203,3.12602
204,75.89444
205,46.849021
206,7.892034
207,9.972516
208,4.874762
209,181.300389
210,18.554375
211,33.597204
212,20.705174
213,38.283051
214,1.724333
215,4.523402
216,4.790831
217,3.060841
218,51.323579
219,3.16927
220,9.752751
221,42.585384
222,30.345866
223,2.976297
224,98.353546
225,9.649943
226,5.125444
227,11.142166
228,6.458394
229,71.837622
230,24.640775
231,115.396431
232,156.539819
233,91.397828
234,28.59051
235,91.809792
236,2.424936
237,0.67813
238,6.804928
239,5.456364
240,12.687279
241,2.453327
242,136.331609
243,97.896348
244,24.2174
245,163.532037
246,86.440028
247,76.768936
248,11.483975
249,48.307739
250,130.537759
251,1641.306124
252,46.478568
253,118.794389
254,27.496558
255,116.442229
256,30.595878
257,329.633461
258,5.750518
259,6.553129
260,74.056974
261,21.766646
262,434.164184
263,41.696243
264,32.382378
265,14.04561
266,102.436092
267,26.042039
268,11.161806
269,86.330204
270,613.351673
271,29.180477
272,114.313146
273,181.757666
274,20.475263
275,1234.946093
276,27.002401
277,13.827788
278,215.504437
279,471.548955
280,1018.999093
281,2.727715
282,1376.097541
283,22.617389
284,509.115984
285,183.661214
286,28.758683
287,572.550711
288,497.538979
289,1230.909682
290,67.391587
291,12.978427
292,779.126522
293,116.339139
294,29.579291
295,79.879211
296,161.772709
297,17.159883
298,76.853397
299,44.817028
300,517.678143
301,1626.712199
302,15.61901
303,123.088515
304,184.108756
305,697.346386
306,107.02295
307,516.643169
308,54.858288
309,74.086981
310,38.107829
311,971.78946
312,440.769319
313,5643.728859
314,183.042744
315,245.646434
316,313.277415
317,253.727865
318,5157.537953
319,2049.188228
320,331.641756
321,2550.501782
322,452.259584
323,194.655078
324,58.15299
325,111.585697
326,286.849285
327,415.212421
328,358.478606
329,197.624687
330,24.031165
331,74.791996
332,4007.477697
333,418.224816
334,44.633115
335,132.230427
336,603.06301
337,76.652198
338,289.522244
339,233.948898
340,1266.209129
341,2466.372849
342,2471.26792
343,619.046498
344,432.086183
345,278.922843
346,254.738473
347,528.453867
